PROV1;Pokoungpt;;;;;;;;;;;;;x
PROV2;Kuuwumn;;;;;;;;;;;;;x
PROV3;Shruungpt;;;;;;;;;;;;;x
PROV4;Mroud;;;;;;;;;;;;;x
PROV5;Pouu;;;;;;;;;;;;;x
PROV6;Umpou;;;;;;;;;;;;;x
PROV7;Prawrish;;;;;;;;;;;;;x
PROV8;Powushan;;;;;;;;;;;;;x
PROV9;Rotibuukiru;;;;;;;;;;;;;x
PROV10;Idtouswun;;;;;;;;;;;;;x
PROV11;Guwougpt;;;;;;;;;;;;;x
PROV12;Rakuumoum;;;;;;;;;;;;;x
PROV13;Oukam;;;;;;;;;;;;;x
PROV14;Toubomput;;;;;;;;;;;;;x
PROV15;Duumpivou;;;;;;;;;;;;;x
PROV16;Tor Dromn;;;;;;;;;;;;;x
PROV17;Sha-Tangpt;;;;;;;;;;;;;x
PROV18;Fofiouswun;;;;;;;;;;;;;x
PROV19;Prousorum;;;;;;;;;;;;;x
PROV20;Doungou;;;;;;;;;;;;;x
PROV21;Pashan;;;;;;;;;;;;;x
PROV22;Ngumnwush;;;;;;;;;;;;;x
PROV23;Mrabongpt;;;;;;;;;;;;;x
PROV24;Hwoumpuush;;;;;;;;;;;;;x
PROV25;Ohwmuoum;;;;;;;;;;;;;x
PROV26;Wuumomum;;;;;;;;;;;;;x
PROV27;Wruuvouwrud;;;;;;;;;;;;;x
PROV28;Pikirutum;;;;;;;;;;;;;x
PROV29;Powouswun;;;;;;;;;;;;;x
PROV30;Rotibuwrud;;;;;;;;;;;;;x
PROV31;Wusumpod;;;;;;;;;;;;;x
PROV32;Vodruwan;;;;;;;;;;;;;x
PROV33;Pudwousoum;;;;;;;;;;;;;x
PROV34;Anuvruhwu;;;;;;;;;;;;;x
PROV35;Powushov;;;;;;;;;;;;;x
PROV36;Sha-Funwof;;;;;;;;;;;;;x
PROV37;Wrogangpt;;;;;;;;;;;;;x
PROV38;Romnugpt;;;;;;;;;;;;;x
PROV39;Hwuptoum;;;;;;;;;;;;;x
PROV40;Pruubouswun;;;;;;;;;;;;;x
PROV41;Wompudro;;;;;;;;;;;;;x
PROV42;Fruman;;;;;;;;;;;;;x
PROV43;Pkoshu;;;;;;;;;;;;;x
PROV44;Hwampumn;;;;;;;;;;;;;x
PROV45;Froubou;;;;;;;;;;;;;x
PROV46;Prakuushan;;;;;;;;;;;;;x
PROV47;Wagouman;;;;;;;;;;;;;x
PROV48;Ouruuwub;;;;;;;;;;;;;x
PROV49;Pribouman;;;;;;;;;;;;;x
PROV50;Dohswun;;;;;;;;;;;;;x
PROV51;Joth;;;;;;;;;;;;;x
PROV52;Shabupti;;;;;;;;;;;;;x
PROV53;Tuptiwoum;;;;;;;;;;;;;x
PROV54;Sha-Wongpt;;;;;;;;;;;;;x
PROV55;Wrousonto;;;;;;;;;;;;;x
PROV56;Ngumvouswun;;;;;;;;;;;;;x
